sentence,count
window on building,20053
cloud in sky,20049
person has hair,5848
leaf on tree,5781
building has window,4280
person has hand,3890
window on train,3850
person has head,3438
person wearing shoe,3363
head of person,3232
window on bus,2915
letter on sign,2750
hand of person,2566
person has arm,2262
leg of person,2146
spot on giraffe,2062
person has leg,2009
arm of person,1748
tree has leaf,1737
cloud in blue sky,1674
wheel on skateboard,1669
line on road,1668
tile on wall,1662
sky has cloud,1616
grass on ground,1606
ripple in water,1580
person has eye,1551
window of building,1504
person with hair,1502
train has window,1458
eye of person,1446
window in building,1404
number on clock,1393
key on keyboard,1391
wave in ocean,1379
cat has ear,1361
wave in water,1349
cat has eye,1340
window on airplane,1296
elephant has trunk,1289
window on plane,1287
skateboard has wheel,1209
giraffe has leg,1166
hand on clock,1155
person has nose,1146
light on train,1127
headlight on train,1085
person has face,1066
person has ear,1059
girl has hair,1024
person has foot,1024
zebra has leg,966
branch on tree,954
giraffe has spot,927
elephant has ear,899
boy has hair,897
elephant has tusk,887
stripe on zebra,886
zebra has stripe,879
giraffe has neck,875
nose of person,868
foot of person,868
headlight on bus,868
ear of cat,866
line on court,851
hair on person,847
leg of giraffe,840
dog has ear,811
tree has branch,808
window on house,806
giraffe has head,806
bus has window,805
ear of person,800
tree with leaf,799
dirt on ground,794
wall near building,791
door on train,785
person has beard,780
elephant has leg,761
bear has ear,761
zebra has ear,750
leaf on plant,748
bird has beak,744
wall on building,743
head on person,741
brick on wall,739
building with window,732
dog has eye,732
light on bus,729
sky with cloud,726
giraffe has ear,721
person has mouth,718
grass in field,718
leg of elephant,715
person has shoe,715
eye of cat,706
glove on hand,706
leg of zebra,706
window near building,704
wing on plane,702
trunk of elephant,701
window on car,697
tire on car,696
grass on field,693
cloud hanging in sky,691
cat has whisker,690
curtain on window,685
trunk of tree,683
tree has trunk,680
dog has nose,676
head of giraffe,675
horse has leg,673
face of person,671
sand on beach,666
wing of plane,654
handle on door,649
tree in wood,643
plane has wing,641
hair of person,640
cat has paw,637
window on wall,637
leaf in tree,636
roof on building,617
bear has nose,613
cat has nose,612
finger of person,609
hair on head,608
hand on person,608
giraffe has tail,606
person has finger,602
zebra has tail,597
giraffe has horn,586
window of train,586
logo on shirt,578
bear has eye,574
clock has hand,574
tire on bus,573
cat has tail,569
zebra has head,563
reflection in water,562
ear of elephant,560
leg of horse,559
tail of plane,557
button on shirt,555
door on building,551
wheel on plane,549
elephant has tail,545
giraffe has eye,541
numeral on clock,540
elephant has eye,537
light on car,536
building in city,528
window in row,527
roman numeral on clock,525
brick in wall,524
faucet on sink,524
headlight on car,521
ear of dog,517
mouth of person,516
bird in sky,515
ear of zebra,513
book on bookshelf,511
cow has horn,509
building has roof,508
cow has ear,503
tire on truck,501
leaf on branch,497
branch of tree,490
neck of giraffe,489
engine on plane,489
eye of dog,488
ear on cat,486
plane has tail,484
wheel on bus,484
windshield on bus,484
blind on window,481
cow has leg,479
ear of giraffe,475
dog has paw,472
horse has tail,471
sink in bathroom,468
airplane has wing,467
door on bus,467
horn on head,465
button on remote,463
ear of bear,463
zebra has mane,461
flower on bush,459
roof of building,459
word on sign,457
bird has leg,457
leaf on stem,455
ear on head,454
balcony on building,453
finger on hand,451
boy has hand,450
button on keyboard,445
dog has leg,444
writing on sign,441
knob on stove,440
flower in grass,439
brick on building,438
mountain in background,437
arm on person,433
